,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
3,17065730,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,SOLANO AVENUE & COLUSA AVE,Berkeley,CA,Saturday,37.891368,-122.279257,2017-10-28 20:08:00,1
6,17047894,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1900 SHATTUCK AVE,Berkeley,CA,Tuesday,37.873687,-122.268616,2017-08-15 12:34:00,1
12,17064647,ASSAULT/BATTERY MISD.,ASSAULT,2100 SHATTUCK AVE,Berkeley,CA,Tuesday,37.871167,-122.268285,2017-10-24 08:56:00,4
13,17062686,ROBBERY,ROBBERY,1500 UNIVERSITY AVE,Berkeley,CA,Sunday,37.870396,-122.281585,2017-10-15 17:09:00,3
18,17092540,THEFT FELONY (OVER $950),LARCENY,2708 RUSSELL ST,Berkeley,CA,Wednesday,37.85853,-122.252457,2017-12-20 17:30:00,3
25,18006469,DISTURBANCE,DISORDERLY CONDUCT,1600 DERBY ST,Berkeley,CA,Friday,37.859006,-122.277874,2018-01-19 00:00:00,3
26,17067957,ROBBERY,ROBBERY,ADELINE STREET & ASHBY AVE,Berkeley,CA,Wednesday,37.854732,-122.26898,2017-11-08 00:30:00,3
27,18005755,DISTURBANCE,DISORDERLY CONDUCT,2500 DURANT AVE,Berkeley,CA,Monday,37.867852,-122.258699,2018-01-29 01:25:00,3
29,17051393,ASSAULT/BATTERY MISD.,ASSAULT,2500 TELEGRAPH AVE,Berkeley,CA,Tuesday,37.865009,-122.258767,2017-08-29 20:48:00,4
32,17055927,MISSING ADULT,MISSING PERSON,1900 OXFORD ST,Berkeley,CA,Friday,37.873885,-122.266332,2017-09-15 08:30:00,4
33,17091624,THEFT FELONY (OVER $950),LARCENY,2000 LINCOLN ST,Berkeley,CA,Tuesday,37.877232,-122.271244,2017-08-15 05:00:00,3
34,17047991,ROBBERY,ROBBERY,ASHBY AVENUE & ELLIS ST,Berkeley,CA,Tuesday,37.854021,-122.273207,2017-08-15 19:11:00,3
39,17061264,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,ALCATRAZ AVENUE & IDAHO ST,Berkeley,CA,Tuesday,37.847421,-122.28133,2017-10-10 00:06:00,1
42,17069496,ASSAULT/BATTERY FEL.,ASSAULT,ALCATRAZ AVENUE & SACRAMENTO ST,Berkeley,CA,Tuesday,37.847908,-122.277685,2017-11-14 20:50:00,5
43,17057841,DISTURBANCE,DISORDERLY CONDUCT,ALLSTON WAY & MILVIA ST,Berkeley,CA,Sunday,37.869057,-122.270463,2017-09-24 16:35:00,3
